"firm_name","n_offres","avg_req_exp","top_skill_req","avg_wage","sector_main","addr_dept_main"
"in extenso",2,0,"aws",NA,"Secteur informatique, ESN",75
"in li",1,NA,"sql",NA,NA,92
"ineat",2,NA,"power bi",NA,"Secteur informatique, ESN",59
"ineris",4,1,"french",NA,"Secteur Energie, Environnement",60
"inetum",31,7,"équipe",NA,"Secteur informatique, ESN",93
"inex",1,NA,"anglais",13200,NA,93
"infogene",10,1,"équipe",55875,"Secteur informatique, ESN",92
"informatis ts",3,NA,"sql",NA,NA,10
"infotel",4,7,"sql",49000,"Secteur informatique, ESN",29
"ingeniance",2,NA,"aws",NA,"Secteur informatique, ESN",92
"innovela",26,2,"spark",61250,NA,NA
"inpost",1,NA,"reporting",NA,NA,59
"inrae",1,NA,"modélisation",29900,NA,44
"inria",3,NA,"python",NA,NA,13
"insight",1,NA,"anglais",NA,NA,NA
"insitoo",2,NA,"équipe",NA,NA,59
"institut du cerveau",1,NA,"communication skills",NA,NA,75
"institut du cerveau et de la moelle epiniere",1,NA,"version control",NA,NA,75
"inventing for life",1,NA,"optimisation",NA,"Industrie Pharmaceutique, Biotechn., Chimie",75
"invivoo",1,NA,"excel",55000,NA,75
"ipsen",1,NA,"programming",NA,NA,92
"irt",2,NA,"intelligence artificielle",NA,"Industrie Manufacturière",44
"it&m stats",1,NA,"autonôme",NA,"Secteur informatique, ESN",75
"itnovem",1,NA,"git",NA,"Secteur informatique, ESN",93
"itw",1,NA,"sql",NA,NA,26
"ivalua",1,NA,"deep learning",NA,NA,91
"iziwork",3,NA,"excel",44166.6666666667,NA,44
"jcdecaux",6,0,"équipe",NA,"Média, Internet, Communication, Industrie Manufacturière",92
"job staging",2,7,"rigueur",NA,"Industrie high-tech, Telecom, Secteur informatique, ESN",56
"jobmania",1,1,"rapport",12000,"Services aux Entreprises, Média, Internet, Communication",75
"johnson & johnson",1,NA,"deep learning",NA,NA,92
"kaino",2,NA,"statistique",65000,NA,75
"kaino consulting",1,NA,"collaboration",NA,NA,75
"kanbios",12,2,"anglais",NA,NA,NA
"karos",7,3,"r studio",50000,NA,NA
"kaïbee",1,NA,"collaboration",105750,NA,75
"kelkoo ltd",1,NA,"deep learning",NA,"Secteur informatique, ESN",38
"kelly services",1,1,"collaboration",NA,"Industrie Pharmaceutique, Biotechn., Chimie",91
"keolis tours",1,NA,"équipe",NA,NA,37
"kering",1,NA,"statistics",NA,"Distribution, Commerce de gros",75
"kicklox",14,NA,"équipe",107687.5,NA,78
"klarys",1,NA,"deep learning",NA,NA,35
"klesia",1,NA,"excel",NA,NA,75
"klint",7,5,"équipe",65000,NA,NA
"know your people",1,NA,"programmation",42500,NA,59
"kpmg",15,0,"équipe",NA,NA,92
"kroissance",1,NA,"sql",40000,NA,31
"kumo",1,NA,"équipe",9000,NA,92
"kuribay",1,1,"équipe",NA,"Industrie Auto, Meca, Navale",69
"kyriba",2,NA,"statistics",NA,"Banque, Assurance, Finance",92
"l opcommerce",1,NA,"autonôme",44250,NA,75
"l organisation mondiale de la sante animale (oie)",1,NA,"database",NA,NA,75
"la banque postale",5,NA,"deep learning",NA,NA,75
"la belle iloise",1,NA,"reporting",NA,NA,56
"la poste",7,1,"équipe",NA,"Transport, Logistique",93
"la releve",7,4,"modélisation",720000,NA,NA
"la secu recrute",6,NA,"statistique",42550,NA,75
"lacoste",1,NA,NA,NA,"Distribution, Commerce de gros",75
"lafayette",2,0,"intelligence artificielle",20966.4,"Distribution, Commerce de gros",75
"lallemand",1,NA,"programmation",44776.06,NA,15
"langton howarth",1,NA,"autonomous",NA,NA,75
"latecoere",1,NA,"sql",NA,NA,31
"lcl",6,0,"équipe",NA,"Banque, Assurance, Finance",94
"le bon candidat recrutement",1,NA,"excel",45000,"Services aux Entreprises",94
"le groupe gcf",1,NA,"excel",NA,NA,67
"le telegramme",4,1,"collaboration",42500,"Média, Internet, Communication",29
"lefebvre",1,NA,"statistique",NA,NA,92
"lehibou",1,NA,"équipe",129250,NA,92
"lenovo france",1,NA,"git",NA,"Industrie high-tech, Telecom",40
"lesaffre",3,NA,"deep learning",NA,"Industrie Agro-alimentaire",59
"lhh recruitment solutions",3,7,"anglais",43000,"Services aux Entreprises",33
"liberty rider",44,NA,"python",NA,NA,31
"licorne society",2,NA,"git",NA,NA,75
"liebherr",2,1,"optimisation",NA,"Industrie Aéronautique, Aérospatial",31
"limagrain",2,1,"prévision",NA,"Industrie Agro-alimentaire",63
"lincoln",1,NA,"deep learning",NA,NA,69
"linkedin job wrapping",1,NA,"statistique",NA,NA,75
"liquide",8,0,"git",NA,NA,75
"lity",1,NA,"intelligence artificielle",90000,NA,75
"livingpackets",21,3,"statistique",41666.6666666667,NA,NA
"lne",1,NA,"français",NA,NA,75
"loc maria biscuits",2,7,"collaboration",NA,"Industrie Agro-alimentaire",22
"louvre hotels",1,NA,"tableau",NA,NA,92
"lr technologies nord",2,1,"collaboration",42500,"Services aux Entreprises, Secteur informatique, ESN",59
"lsa courtage",44,NA,"rapport",NA,NA,92
"lydia",44,NA,"tableau",NA,NA,75
"lynx rh",1,NA,"git",NA,"Services aux Entreprises",49
"maestria",2,1,"équipe",46500,"Services aux Entreprises",6
"magasins vert   point vert",1,0,"git",NA,"Distribution, Commerce de gros",29
"maif",2,NA,"équipe",NA,NA,79
"malakoff humanis",4,NA,"rigueur",NA,NA,75
"malt",1,0,"communication",NA,"Services aux Entreprises",75
"managing",2,NA,"anglais",NA,"Services aux Entreprises",67
"mane",2,NA,"programmation",NA,"Industrie Pétrolière, Pétrochimie",6
"manutan",2,NA,"équipe",NA,"Média, Internet, Communication",95
"marcel robbez masson",1,NA,"anglais",40200,NA,34
"margo conseil",1,NA,"deep learning",NA,NA,75
"maser engineering",2,1,NA,32500,"Services aux Entreprises",31
"matmut",2,1,"deep learning",NA,"Banque, Assurance, Finance",76
"mazars",3,7,"équipe",NA,"Secteur informatique, ESN",92
"mbda",1,NA,"python",NA,NA,18
"mbr partners",1,NA,"excel",NA,NA,75
"meetic",1,NA,"deep learning",NA,"Média, Internet, Communication",75
"meilleurtaux",1,NA,"adaptabilité",NA,"Banque, Assurance, Finance, Média, Internet, Communication",75
"meritis",3,NA,"équipe",NA,"Secteur informatique, ESN",75
"meta",2,NA,"deep learning",NA,NA,75
"metrixx",1,NA,"reporting",NA,NA,69
"metyis",1,NA,"git",NA,NA,75
"mfg labs",44,NA,"r studio",NA,NA,77
"mgen",1,NA,"power bi",NA,NA,75
"michael page",12,0,"équipe",56450,"Services aux Entreprises",92
"michelin",5,0,"équipe",16260,NA,63
"million victories",7,NA,"programming",NA,NA,NA
"mirakl",6,NA,"deep learning",NA,"Média, Internet, Communication, Secteur informatique, ESN",33
"mobilize financial services",1,1,"google cloud",NA,"Banque, Assurance, Finance, Industrie Auto, Meca, Navale",93
"mon marchefr",1,NA,"tableau",NA,NA,69
"monabanq",1,NA,"sql",10056,NA,59
"mondial relay",1,7,"tableau",NA,"Transport, Logistique",59
"morgan philips executive search",2,7,"collaboration",NA,"Industrie Pharmaceutique, Biotechn., Chimie",92
"mosica",2,1,"spark",NA,"Secteur informatique, ESN",44
"mp data",38,2.5,"git",51057.3529411765,NA,NA
"msd",2,NA,"collaboration",NA,NA,75
"mydral",5,7,"équipe",54875,"Secteur informatique, ESN",75
"nantes universite",1,NA,"équipe",34002,NA,44
"natixis sa",2,NA,"collaboration",NA,NA,75
"nature et decouvertes",1,NA,"optimisation",NA,NA,78
"nava engineering",1,7,"hadoop",48000,"Industrie Aéronautique, Aérospatial, Secteur informatique, ESN",31
"neo soft",1,NA,"python",NA,NA,75
"neoxia",2,NA,"deep learning",NA,"Secteur informatique, ESN",75
"nestle operational services worldwide sa",3,NA,"équipe",NA,NA,75
"nexoris",1,NA,"équipe",123375,NA,75
"nexteam group",1,NA,"équipe",NA,NA,64
"nexton consulting fr",1,NA,"équipe",NA,NA,59
"niji",1,NA,"optimisation",NA,NA,69
"nissan",1,NA,"curious",NA,"Industrie Auto, Meca, Navale",78
"nodya group",4,7,"équipe",66833.3333333333,"Secteur informatique, ESN",13
"nova",11,7,"python",NA,NA,NA
"novencia",4,NA,"git",NA,NA,75
"novo nordisk",1,NA,"sql",NA,NA,28
"numberly",4,NA,"sql",NA,"Média, Internet, Communication",75
"objectware",4,1,"équipe",NA,"Secteur informatique, ESN",44
"ocde",2,NA,"sql",70263.84,NA,75
"octo technology",1,NA,"deep learning",NA,NA,75
"octopus",3,NA,"équipe",NA,NA,75
"ogf",1,NA,"tensorflow",NA,NA,75
"okaidi",1,NA,"équipe",44000,NA,59
"omniciel",2,1,"tableau",44000,"Services aux Entreprises, Secteur informatique, ESN",13
"onepoint",10,0,"équipe",NA,"Secteur informatique, ESN",75
"open",2,NA,"git",NA,"Secteur informatique, ESN",92
"opera conseil",1,NA,"deep learning",NA,NA,69
"oppbtp",2,7,"bases de donnée",NA,"BTP",92
"opteamis",1,NA,"git",NA,NA,75
"orange",7,0,"équipe",NA,"Secteur informatique, ESN",13
"orano",10,1,"statistique",NA,NA,NA
"ornikar",1,NA,"modélisation",NA,NA,75
"ortec",46,0,"équipe",NA,NA,31
"orthogrid",2,NA,"deep learning",NA,"Secteur informatique, ESN",67
"ose engineering",7,NA,"programmation",NA,NA,NA
"otteo",2,1,"équipe",47000,"Secteur informatique, ESN",59
"ouest france",3,0,"équipe",NA,"Média, Internet, Communication",35
"ovhcloud",1,NA,"anglais",NA,"Secteur informatique, ESN",59
"pacific pêche",1,NA,"programmation",NA,NA,34
"paie & rh solutions",1,NA,"sql",NA,NA,64
"papernest",46,NA,"français",NA,NA,75
"paris saclay center for data science",1,NA,"programming",NA,NA,91
"partnaire",1,7,"optimisation",72500,"Services aux Entreprises",45
"people way",1,NA,"base de donnée",NA,NA,75
"pernod",9,NA,"git",NA,NA,75
"perse beauty",1,NA,"autonome",NA,NA,75
"persuaders rh",2,7,"équipe",NA,"Services aux Entreprises",92
"philips",1,NA,"excel",NA,NA,75
"pictarine",1,NA,"r studio",NA,NA,NA
"pigment",1,NA,"deep learning",NA,"Secteur informatique, ESN",NA
"pixie services france",4,7,"python",NA,"Secteur informatique, ESN",59
"pmu",3,1,"équipe",60000,"Service public des collectivités territoriales",75
"polarys",2,NA,"équipe",NA,NA,92
"polyconseil",4,0,"équipe",NA,"Secteur informatique, ESN",75
"postuler",3,7,"équipe",NA,"Services aux Entreprises",57
"pricehubble",7,NA,"python",NA,"Immobilier, Secteur informatique, ESN",75
"pro btp groupe",1,NA,"équipe",45000,NA,94
"procter & gamble",1,NA,"big data technologies",NA,NA,75
"profil",9,NA,"équipe",48864.27,NA,75
"promovacances",1,1,"français",NA,"Restauration, Tourisme, Hôtellerie, Loisirs",75
"prosol",1,NA,"équipe",NA,NA,69
"proxiel",3,1,"python",40000,"Secteur informatique, ESN",13
"psa",4,0,"communication",NA,"Distribution, Commerce de gros",78
"publicis groupe",1,NA,"collaboration",NA,NA,75
"publicis sapient",1,NA,"git",NA,"Média, Internet, Communication",75
"pur",1,NA,"deep learning",NA,NA,75
"pwc",16,NA,"équipe",NA,"Secteur informatique, ESN",92
"qare",1,NA,"collaboration",NA,NA,75
"qima",1,NA,"reporting",NA,NA,NA
"quadra informatique",1,NA,"communication",NA,NA,67
"quantilia",1,NA,"collaboration",NA,NA,6
"quantum",2,NA,"deep learning",NA,NA,34
"r&s telecom",1,NA,"équipe",NA,NA,75
"rades",7,3,"curiosité",47500,NA,NA
"rakam",2,NA,NA,NA,"Services aux Entreprises",92
"rakuten",1,NA,"deep learning",NA,NA,75
"rd2 conseil",2,NA,"programmation",NA,NA,69
"reactis services",3,1,"équipe",50000,"Secteur informatique, ESN",94
"reconomia",1,NA,"autonome",NA,NA,59
"recrulab",1,NA,"programmation",50000,NA,69
"recrutons ensemble",1,NA,"collaboration",NA,NA,13
"renault",7,NA,"anglais",NA,NA,78
"repro it",2,7,"équipe",32440,"Distribution, Commerce de gros, Secteur informatique, ESN",59
"rhodium group",1,NA,"tableau",NA,NA,75
"roche",1,NA,"autonôme",NA,NA,75
"roullier",1,0,"équipe",NA,"Industrie Agro-alimentaire",35
"rsm",2,0,"optimisation",NA,"Banque, Assurance, Finance",44
"rte international",1,NA,"project management",NA,NA,92
"ryole",2,0,"tableau",NA,"Industrie Manufacturière, Distribution, Commerce de gros",75
"saegus",7,4,"excel",54000,NA,NA
"safilo",1,NA,"tableau",NA,NA,92
"safran",23,7,"équipe",NA,NA,77
"saint gobain",2,NA,"collaboration",NA,NA,92
"saint maclou",2,NA,"reporting",34500,NA,59
"salomon",2,NA,"anglais",NA,NA,74
"sanofi",7,NA,"excel",NA,"Industrie Pharmaceutique, Biotechn., Chimie",69
"sas akerwise",1,NA,"collaboration",102225,NA,75
"satt sud est",1,NA,"deep learning",35500,NA,13
"saur",3,1,"deep learning",NA,"Secteur Energie, Environnement",75
"scalian",2,7,"tableau",40000,"Santé, Social, Association, Secteur informatique, ESN",35
"scc",1,7,"collaboration",NA,"Secteur informatique, ESN",92
"schneider",5,NA,"excel",NA,NA,6
"science me up",1,NA,"python",NA,NA,NA
"scor",2,NA,"deep learning",NA,NA,75
"seb",2,0,"excel",NA,"Distribution, Commerce de gros",53
"segula",4,7,"tableau",NA,"Industrie Auto, Meca, Navale",91
"sense4data",1,NA,"communication",NA,NA,33
"sephora",2,NA,"collaboration",NA,NA,45
"sept lieues",5,7,"équipe",64900,NA,75
"sercel",1,NA,"rigueur",NA,NA,44
"serma technologies",1,NA,"anglais",NA,NA,33
"servier",1,NA,"excel",NA,"Industrie Pharmaceutique, Biotechn., Chimie",92
"sfr",6,0,"reporting",NA,"Industrie high-tech, Telecom",75
"shift technology",2,NA,"french",NA,NA,75
"shippeo",44,NA,"english",NA,NA,75
"shopopop",1,1,"git",39500,"Services aux Personnes, Particuliers",44
"shortways",1,NA,"autonome",NA,NA,53
"showroomprive",1,0,"modélisation",NA,"Média, Internet, Communication",93
"sia partners",2,NA,"intelligence artificielle",NA,"Services aux Entreprises",75
"siaci saint honore",2,NA,"deep learning",NA,NA,75
"siege de l ap hp",1,NA,"rigueur",NA,NA,75
"sightengine",1,NA,"tensorflow",NA,NA,NA
"sii",24,7,"équipe",38452.0833333333,"Secteur informatique, ESN",59
"silamir",1,NA,"rigueur",NA,NA,75
"silkhom",3,NA,"power bi",46666.6666666667,"Services aux Entreprises",56
"sim&cure",1,NA,"deep learning",NA,NA,34
"siplec",1,NA,"tableau",NA,NA,94
"size up consulting",2,7,"gestion de projets",NA,"Secteur informatique, ESN",75
"skiils",17,3,"équipe",63208.3333333333,NA,NA
"smarteo",1,NA,"tensorflow",NA,NA,NA
"sncf",6,NA,"équipe",NA,NA,75
"societe generale",7,NA,"équipe",NA,NA,92
"socomec",1,NA,"c++",NA,NA,67
"sodebo",1,1,"équipe",NA,"Industrie Agro-alimentaire",85
"sodexo",44,NA,"excel",NA,NA,92
"softeam",1,NA,"spark",NA,NA,75
"sogeti",1,NA,"power bi",NA,NA,31
"solutec",2,NA,"modélisation",NA,"Secteur informatique, ESN",31
"somfy",3,NA,"excel",NA,NA,74
"sopra steria",44,7,"équipe",NA,"Secteur informatique, ESN",NA
"sorare",1,NA,"sql",NA,NA,75
"soredab",2,0,"azure",NA,"Industrie Agro-alimentaire",78
"soyhuce",2,NA,"équipe",NA,NA,75
"spare parts 3d",1,NA,"python",NA,NA,75
"sparteo",1,NA,"autonomous",NA,NA,59
"sqli",1,0,"collaboration",NA,"Secteur informatique, ESN",76
"stages",3,0,"équipe",15366.6666666667,"Services aux Entreprises",92
"stalaven",1,NA,"python",NA,NA,22
"stellantis",8,NA,"équipe",NA,NA,78
"stereolabs",4,NA,"deep learning",NA,"Secteur informatique, ESN",75
"streem energy",1,NA,"deep learning",NA,NA,75
"suez",10,0,"python",NA,NA,78
"sully group",1,NA,"tableau",NA,NA,38
"suntory beverage & food france",1,NA,"statistique",65000,NA,92
"suricate it",1,NA,"deep learning",138650,NA,75
"symphonyai",1,NA,"deep learning",NA,NA,75
"synergie",1,NA,"collaboration",NA,NA,59
"synopsia",1,NA,"python",50000,NA,75
"systnaps",1,NA,"base de donnée",NA,NA,94
"talan",46,7,"équipe",NA,"Secteur informatique, ESN",75
"talenteeds",1,NA,"artificial intelligence",NA,NA,75
"teads",1,NA,"curious",NA,NA,34
"team is",1,NA,"sql",67500,NA,75
"teamis",5,1,"équipe",67500,"Secteur informatique, ESN",33
"tech riders",44,NA,"équipe",NA,NA,75
"terrena",1,NA,"bases de donnée",NA,NA,NA
"tf1",1,NA,"communication",NA,NA,75
"thales",6,NA,"équipe",NA,NA,92
"the information lab",1,NA,"équipe",52500,NA,75
"the product crew",7,NA,"français",NA,NA,NA
"tortoise",1,NA,"python",NA,"Secteur informatique, ESN",75
"totalenergies",6,NA,"python",NA,NA,92
"touton sa",1,NA,"rapport",NA,NA,33
"trsb",4,7,"anglais",NA,"Média, Internet, Communication, Distribution, Commerce de gros, Secteur informatique, ESN",75
"tuanis it",2,7,"équipe",NA,"Secteur informatique, ESN",31
"twenty one talents",2,7,"collaboration",56500,"Industrie high-tech, Telecom, Média, Internet, Communication",75
"u iris",2,1,"modélisation",45000,"Secteur informatique, ESN",44
"ubisoft",3,0,"python",NA,"Secteur informatique, ESN",75
"unibail rodamco westfield",2,NA,"collaboration",NA,"Immobilier",75
"united solutions",2,1,"équipe",47500,"Secteur informatique, ESN",69
"universcience",1,NA,"statistique",45500,NA,75
"universite de montpellier",1,NA,"autonôme",35940,NA,34
"universite de nantes",1,NA,"rapport",NA,NA,44
"unlck recrutement",4,0,"aws",52250,"Services aux Entreprises, Secteur informatique, ESN",6
"uptoo",7,NA,"équipe",56785.7142857143,"Services aux Entreprises",13
"utigroup",7,7,"équipe",43857.1428571429,"Secteur informatique, ESN",69
"utwin",1,NA,"tableau",NA,NA,69
"vaisala",1,NA,"excel",NA,NA,75
"valeo",4,0,"collaboration",NA,"Industrie Auto, Meca, Navale",95
"valeuriad",1,NA,"hadoop",NA,NA,44
"valoway",1,NA,"modélisation",52500,NA,44
"valtao",1,NA,"excel",NA,NA,95
"veepee",1,NA,"tableau",NA,NA,75
"veepee_france",1,NA,"aws",NA,"Distribution, Commerce de gros",75
"vente 2 site",1,NA,"proactif",NA,NA,94
"verisure",1,NA,"excel",NA,NA,92
"vetoquinol",1,NA,"équipe",NA,NA,70
"viatris",1,NA,"excel",NA,NA,69
"vif",2,7,"équipe",NA,"Industrie Agro-alimentaire, Secteur informatique, ESN",44
"vinci",6,NA,"équipe",NA,NA,92
"visian",9,4,"tableau",124550,NA,NA
"visuary",1,NA,"proactive",NA,NA,75
"viveris",5,1,"équipe",45000,"Secteur informatique, ESN",94
"vo2 group",1,NA,"excel",158625,NA,75
"volvo",5,NA,"python",NA,NA,69
"waisso",1,NA,"excel",NA,NA,75
"walters people",1,1,"équipe",37500,"Distribution, Commerce de gros",95
"wanteeed",7,4,"équipe",50000,NA,NA
"warner music france",7,NA,"collaboration",NA,NA,NA
"wavestone",2,0,"git",NA,"Services aux Entreprises",75
"we it",1,1,"hadoop",46000,"Média, Internet, Communication, Secteur informatique, ESN",NA
"wefox",1,NA,"python",NA,NA,75
"wesmart",1,NA,"modélisation",55000,NA,75
"wewyse",2,2,"modélisation",NA,"Média, Internet, Communication",75
"wheel of work",1,NA,"power bi",121025,NA,59
"withings",4,0,"python",NA,"Distribution, Commerce de gros",92
"wivoo",16,NA,"azure",NA,NA,NA
"wizaly",1,NA,"hadoop",NA,NA,75
"wizville",7,2,"curiosité",50000,NA,NA
"x fab",44,NA,"communication skills",NA,NA,91
"xl catlin",1,NA,"database",NA,NA,75
"xpdeep",1,NA,"deep learning",NA,NA,38
"zoī",1,NA,"git",NA,NA,75
NA,688,2.9,"équipe",46087.5,NA,NA
